"selection1_name","selection1_selection2"
"""bad ground and customer service""","✅ Trip Verified | Delta repeatedly has bad ground and customer service staff. The breaking point which compelled me to write a feedback on this airline after flying with them for so many years came when they did not handle my luggage professionally. When there was damages found on the bags, the ground agents denied liabilities and accuse the fault was on passengers. The same was true to other passengers who experienced the same problem on the same flight when in Singapore from the US via Tokyo. After filing complaint to the customer service, the customer service took more than 14 days to reply (when in their auto reply email stated they would reply within 14 days) and the customer service would defend their mistakes and continue laying blame on the passengers. I have been their top level frequent fliers but I never felt I was treated like one at all. They don't offer any preferential check in, retrieval of luggage bags above their usual sky priority which a simple comfort + would earn the similar treatment while being the top frequent fliers on other alliance group or airlines would have offered 1st class service than Delta offering merely the same like comfort +. Service recovery is bad. The staff are not trained or geared towards high value customers at all. Having a Porsche for tight connection is nothing premium when other airlines offer direct boarding from lounge like Emirates or complimentary limousine airport transfers such as from JL, MH and so on. They appear to prefer paid business class passengers but their products and services completely do NOT match up to any full service airlines that have business class product. Their lounge is always filled with so many people and refreshment are really just plain refreshment (basic snacks NOT food) and very often, their lounges do NOT even have shower facilities. So don't even count on having complimentary spa/massage/sleeping area etc. Their planes are dirty and old yet the ticket fares are expensive. Amenities frequently not working for example IFE doesn't work, USB not charging, food stuck in between seats, chewing gums found in aircraft safety menu, dirty toilets, broken window shades and Delta has a policy where instead of bumping revenue passengers to higher classes when seats are needed, they would instead bump their non revenue employees or families/kins onto business class seats especially on international route. Their complimentary first class upgrade almost hardly happen to any members as it will always be full. Delta will always try not to offer the upgrade until at boarding and by which time, all the first class seats would be taken up already. So don't be fooled by the benefits stated on their website for their frequent fliers programme. Their hidden clause to defend their misrepresentation would be ""whenever available"". To Delta, available for revenue tickets doesn't mean available for upgrade. There is absolutely no incentives being their frequent fliers especially for international travellers. They are just a commuter airline within US or regional at best. So Delta best if ever rated best is best within the US only. In one word to describe Delta and by International Standard, avoid it. Its better to take your money to other airlines who would respect and treat premium or frequent fliers more seriously."
"""treat economy customers like trash""","Not Verified | Dallas to Atlanta. I have been a faithful Delta customer for many years, flying about 1x a month. They have fair reliability. They treat economy customers like trash. I have over 140k in miles but get zero upgrades or assistance. Several times I have not received snacks or drinks because I am in the back of the plane."
"""Bad experience with Delta""","✅ Trip Verified | Buffalo to Los Angeles. Bad experience with Delta, for a strange reason, was my baggage to heavy (3 kg) this is strange because on the KLM flight the weight of my baggage was not too heavy. I must pay $100 extra for my baggage so the total amount for 3 pieces of baggage was $190.00. Never Delta airlines for me."
"""Great customer service""","Not Verified | Mexico City to Los Angeles. Great customer service. Staff was honest and helpful with any assistance we needed. I would recommend the Delta service in Mexico City"
"""crew made it an amazing journey""","✅ Trip Verified | Newark to Munich. We had connecting flights both departing and returning back to New Jersey from Munich. Everything ran smoothly. We did have to retrieve our baggage on our return flight because of international customs but Delta had an place in the Detroit departure area to drop off luggage and forward them to Newark. It was effortless. The flight attendants made the time on both flights remarkably comfortable. Blankets and pillows were available. They were attentive to our needs. Warm moist cloths were given before our 2 meals to freshen up. Beverages were served several times and cups of water offered frequently. Snacks were served and offered when we wanted, the flight attendants seemed to truly enjoy their job. The captains let us know what was going on especially when we had a weather delay flying back to Newark. It was nice to hear why we were being held back from landing and for how long instead of wondering what was happening or how long we would be circling. We will not hesitate to choose Delta/KLM in the future. As stressful as flying can be the Delta crew made it an amazing journey."
"""comfort level was top notch""","✅ Trip Verified | Seattle to Kona. I was so pleased with my flight and this was my first time flying so I had all the jitters. The staff was amazing, comfort level was top notch. They had pillows and blankets and little televisions in the seats and you can track your flight. The pilot kept us updated. I literally will only fly Delta from now on. On our way home we flew Alaska and I was extremely upset that it was such a downgrade. I was shivering and freezing cold the entire flight as was my son and husband and we were in long sleeves and pants. No pillows, no blankets, you had to pay to use the tablets, staff were snotty. Thank you Delta for the good experience."
"""too frustrating""","✅ Trip Verified | Atlanta to Frankfurt. I have decided to fly with another airline going forward just because my overall experience with Delta is simply too frustrating. I was also pretty unhappy with the unreasonable 1st checked baggage fee. Also my not being able to choose my seat during check-in. And when I asked the agent to change it for me in Frankfurt he simply had no interest in helping me. Food was also unsatisfactory. My opinion at this point is that Delta is simply not worth the headache. FYI: the changes Delta has made are clearly not geared toward passenger satisfaction."
"""Thanks for nothing""","✅ Trip Verified | Louisville to Newport News via Atlanta. The flight was delayed a pretty long time resulting in me missing my flight. We flew into Atlanta where the staff was so terrible I know I will never use you guys again. She was rude and very unprofessional. I just don’t understand how you guys don’t coordinate with late flights to make sure we make our flight. This resulting in a delay of the mission. Thanks for nothing."
"""delayed because of the weather""","✅ Trip Verified | Kansas City to San Jose via Atlanta. Ok Delta. Today you did us wrong and caused us to miss the flight. Let the connecting flight leave early without 8 passengers knowing we were delayed because of the weather. 7 hrs and $350 dollars later because of you. Not happy. Hate Delta. Wifi on the plane doesn't work and this airport is not hearing impaired friendly. Do not use Delta."
"""not book flight with Delta again""","✅ Trip Verified | We were in flight delayed, forced to circle terminal for more than 20 minutes, which put us arriving close to our next departure. Then they changed our terminal to the furthest terminal to have to run and catch our plane to Costa Rica. Never mind the people who didn't listen to the announcement of please sit if you do not have a connecting flight in less than an hour. Now we are out 8 hours of our destination and 200 dollars to have to taxi from another town we are flying into. I will not book flight with Delta again. Especially since they did everything they could to delay our landing."
